match_id,sport,format,rating_diff,avg_rating_deviation,winrate_diff,activeness_diff,streak_diff,geo_score,h2h_matches,same_skill_category,wait_time_seconds,match_quality_score
SM1,pickleball,singles,100.8,280.2,0.1343,0.2138,2,0.8,1,1,303,0.822
SM2,pickleball,singles,205.6,198.1,0.1098,0.7049,7,0.8,0,1,286,0.6706
SM3,pickleball,singles,1015.4,191.4,0.5548,0.1821,3,1.0,3,0,30,0.4485
SM4,pickleball,singles,208.4,219.2,0.1381,0.1343,0,1.0,1,0,0,0.7277
SM5,pickleball,singles,231.5,183.4,0.045,0.2826,5,0.8,1,1,11,0.8246
SM6,pickleball,singles,58.7,161.6,0.0175,0.2685,2,0.8,2,1,131,0.9398
SM7,pickleball,singles,247.9,73.4,0.1088,0.2607,2,1.0,1,1,122,0.8214
SM8,pickleball,singles,67.6,179.2,0.0277,0.3859,8,0.5,3,0,10,0.8316
SM9,pickleball,singles,191.3,196.2,0.0076,0.4134,1,1.0,2,1,17,0.775
SM10,pickleball,singles,187.4,310.9,0.0559,0.2585,3,0.5,0,1,208,0.7327
SM11,pickleball,singles,234.5,276.0,0.1387,0.2226,5,0.5,0,0,21,0.7446
SM12,pickleball,singles,271.6,206.2,0.0132,0.0866,2,1.0,2,0,74,0.7823
SM13,pickleball,singles,665.8,176.6,0.3895,0.042,3,0.8,3,0,249,0.4793
SM14,pickleball,singles,496.5,154.4,0.3247,0.2007,4,0.5,0,0,266,0.4995
SM15,pickleball,singles,351.7,232.9,0.2955,0.2463,6,0.8,0,0,57,0.6189
SM16,pickleball,singles,763.8,142.8,0.4808,0.0952,7,1.0,3,0,125,0.4667
SM17,pickleball,singles,714.1,200.0,0.3118,0.0429,2,1.0,3,0,57,0.3467
SM18,pickleball,singles,65.4,287.6,0.0658,0.0289,2,0.8,1,1,67,0.8326
SM19,pickleball,singles,183.7,168.1,0.1986,0.1688,3,1.0,0,0,204,0.899
SM20,pickleball,singles,44.4,143.1,0.2126,0.005,1,1.0,1,0,85,0.9704
SM21,pickleball,singles,158.4,226.4,0.0744,0.0441,0,1.0,0,1,8,0.797
SM22,pickleball,singles,155.0,191.8,0.0143,0.0099,0,1.0,0,0,70,0.7856
SM23,pickleball,singles,327.9,202.2,0.0068,0.0815,1,0.8,0,0,13,0.6147
SM24,pickleball,singles,301.3,172.2,0.2469,0.1044,4,0.5,1,0,72,0.7563
SM25,pickleball,singles,255.2,141.0,0.1123,0.2522,1,1.0,0,1,60,0.6603
SM26,pickleball,singles,702.0,219.6,0.5124,0.0044,8,0.8,2,0,10,0.4083
SM27,pickleball,singles,113.3,246.4,0.178,0.4858,1,1.0,3,0,7,0.7911
SM28,pickleball,singles,250.5,236.9,0.3295,0.1563,2,1.0,0,0,21,0.7907
SM29,pickleball,singles,118.5,211.5,0.0,0.0662,4,1.0,1,0,11,0.8219
SM30,pickleball,singles,218.9,262.1,0.2638,0.2579,2,0.8,0,0,72,0.751
SM31,pickleball,singles,42.2,226.1,0.0954,0.4675,1,0.5,0,0,96,0.8481
SM32,pickleball,singles,657.4,200.6,0.4361,0.1902,2,0.8,5,0,120,0.5026
SM33,pickleball,singles,362.4,135.2,0.249,0.0411,4,1.0,1,0,155,0.6211
SM34,pickleball,singles,558.0,227.8,0.3653,0.566,2,1.0,0,0,182,0.5169
SM35,pickleball,singles,493.4,174.0,0.1386,0.2198,9,1.0,5,0,202,0.5503
SM36,pickleball,singles,852.5,196.6,0.5784,0.3598,7,0.2,2,0,155,0.4912
SM37,pickleball,singles,415.2,260.5,0.0628,0.3625,4,0.8,3,0,192,0.5404
SM38,pickleball,singles,268.5,222.2,0.0166,0.3658,1,1.0,0,0,90,0.773
SM39,pickleball,singles,467.8,123.0,0.0481,0.0029,2,0.8,2,0,37,0.5583
SM40,pickleball,singles,409.4,224.8,0.2894,0.2373,1,1.0,0,1,56,0.5428
SM41,pickleball,singles,51.4,300.6,0.3013,0.0871,4,0.8,0,1,118,0.8734
SM42,pickleball,singles,775.8,210.7,0.5328,0.1395,4,0.8,5,0,86,0.4392
SM43,pickleball,singles,565.7,180.8,0.4429,0.2739,3,0.5,5,0,21,0.2485
SM44,pickleball,singles,328.4,299.8,0.1378,0.4474,4,1.0,2,1,67,0.7302
SM45,pickleball,singles,524.5,132.1,0.3471,0.3917,2,0.8,3,0,23,0.5416
SM46,pickleball,singles,873.6,182.6,0.61,0.5829,1,0.8,1,0,36,0.4533
SM47,pickleball,singles,165.8,242.2,0.0329,0.253,11,1.0,1,0,159,0.8006
SM48,pickleball,singles,22.7,290.6,0.0768,0.6766,1,0.8,0,1,347,0.9141
SM49,pickleball,singles,355.6,160.7,0.1565,0.1158,4,0.8,5,0,52,0.6245
SM50,pickleball,singles,18.7,239.0,0.0425,0.2663,2,1.0,0,1,67,0.9401
SM51,pickleball,singles,236.5,169.4,0.1298,0.3167,3,1.0,5,0,29,0.658
SM52,pickleball,singles,178.5,285.0,0.1131,0.234,0,1.0,2,0,116,0.8584
SM53,pickleball,singles,607.8,273.6,0.3903,0.0341,2,0.2,0,0,177,0.4702
SM54,pickleball,singles,219.2,175.6,0.2191,0.296,1,0.5,0,1,4,0.6931
SM55,pickleball,singles,505.8,210.8,0.1533,0.2971,4,1.0,1,1,9,0.5295
SM56,pickleball,singles,275.6,196.8,0.2144,0.0586,2,0.5,0,0,0,0.6851
SM57,pickleball,singles,60.8,194.2,0.0503,0.1163,8,0.8,0,1,625,0.8728
SM58,pickleball,singles,291.9,218.6,0.0843,0.1991,4,0.8,3,0,163,0.7979
SM59,pickleball,singles,523.3,250.2,0.2812,0.1633,6,1.0,1,0,95,0.5537
SM60,pickleball,singles,168.8,199.0,0.176,0.2428,0,1.0,0,1,17,0.8008
SM61,pickleball,singles,276.1,167.2,0.3536,0.0437,6,1.0,0,0,11,0.7048
SM62,pickleball,singles,159.2,141.1,0.0505,0.2688,5,1.0,5,0,96,0.7472
SM63,pickleball,singles,150.9,172.1,0.2923,0.2098,1,0.8,0,1,81,0.9416
SM64,pickleball,singles,639.5,200.1,0.4344,0.1636,3,0.8,0,0,50,0.5098
SM65,pickleball,singles,796.5,151.1,0.4582,0.3285,3,0.8,0,0,32,0.4667
SM66,pickleball,singles,254.0,198.4,0.1708,0.5205,2,0.5,0,0,179,0.801
SM67,pickleball,singles,137.9,194.4,0.1477,0.0379,0,0.8,0,1,67,0.9354
SM68,pickleball,singles,46.6,219.6,0.0776,0.0783,9,1.0,3,0,114,0.7956
SM69,pickleball,singles,115.2,172.9,0.0734,0.0977,4,1.0,0,1,95,0.8788
SM70,pickleball,singles,472.6,167.6,0.3136,0.2524,9,0.8,0,0,64,0.5762
SM71,pickleball,singles,431.9,259.0,0.1632,0.1597,1,0.2,0,0,0,0.5204
SM72,pickleball,singles,838.1,244.5,0.4909,0.1995,1,1.0,1,0,112,0.4083
SM73,pickleball,singles,574.5,162.6,0.1653,0.0285,3,0.8,0,0,251,0.5179
SM74,pickleball,singles,123.7,190.2,0.0781,0.021,2,0.5,1,1,5,0.7709
SM75,pickleball,singles,268.0,186.4,0.2648,0.823,0,1.0,2,0,40,0.6747
SM76,pickleball,singles,241.1,267.6,0.2003,0.1094,0,0.5,0,0,60,0.7418
SM77,pickleball,singles,719.6,165.7,0.4528,0.1924,1,1.0,0,0,73,0.4444
SM78,pickleball,singles,497.3,90.6,0.2815,0.335,6,1.0,0,0,51,0.4842
SM79,pickleball,singles,192.3,223.8,0.05,0.0959,5,0.8,0,0,47,0.742
SM80,pickleball,singles,351.4,200.0,0.2557,0.1424,3,1.0,2,1,74,0.7232
SM81,pickleball,singles,101.9,186.4,0.0436,0.3906,1,0.8,2,1,36,0.9594
