match_id,sport,format,team_a_rating,team_b_rating,nb_sets,score_w,score_l,upset,match_quality_score,source
SM1,pickleball,singles,1137.6,1238.4,2,21,13,1,0.822,synthetic
SM2,pickleball,singles,1597.1,1391.5,2,23,12,0,0.6706,synthetic
SM3,pickleball,singles,1019.2,2034.6,2,20,13,0,0.4485,synthetic
SM4,pickleball,singles,1246.8,1038.4,2,21,15,0,0.7277,synthetic
SM5,pickleball,singles,1532.9,1301.4,3,30,27,0,0.8246,synthetic
SM6,pickleball,singles,1692.1,1750.8,3,30,27,0,0.9398,synthetic
SM7,pickleball,singles,2050.4,2298.3,3,31,29,0,0.8214,synthetic
SM8,pickleball,singles,1665.1,1597.5,2,19,11,1,0.8316,synthetic
SM9,pickleball,singles,1631.6,1440.3,2,21,18,0,0.775,synthetic
SM10,pickleball,singles,1056.8,869.4,2,22,15,0,0.7327,synthetic
SM11,pickleball,singles,1343.3,1108.8,2,20,17,0,0.7446,synthetic
SM12,pickleball,singles,1469.4,1741.0,2,21,19,1,0.7823,synthetic
SM13,pickleball,singles,1051.9,1717.7,2,21,16,0,0.4793,synthetic
SM14,pickleball,singles,2010.9,1514.4,2,22,13,0,0.4995,synthetic
SM15,pickleball,singles,1251.1,899.4,2,21,14,0,0.6189,synthetic
SM16,pickleball,singles,1340.1,2103.9,2,21,15,0,0.4667,synthetic
SM17,pickleball,singles,800.0,1514.1,2,22,8,0,0.3467,synthetic
SM18,pickleball,singles,1056.9,991.5,2,20,15,0,0.8326,synthetic
SM19,pickleball,singles,1604.8,1421.1,3,30,26,1,0.899,synthetic
SM20,pickleball,singles,1389.5,1433.9,3,25,25,0,0.9704,synthetic
SM21,pickleball,singles,992.9,1151.3,2,21,18,0,0.797,synthetic
SM22,pickleball,singles,1614.2,1769.2,2,20,16,0,0.7856,synthetic
SM23,pickleball,singles,1360.9,1033.0,2,20,12,0,0.6147,synthetic
SM24,pickleball,singles,1659.9,1358.6,3,31,25,0,0.7563,synthetic
SM25,pickleball,singles,1689.1,1433.9,2,22,13,0,0.6603,synthetic
SM26,pickleball,singles,1051.9,1753.9,2,21,11,0,0.4083,synthetic
SM27,pickleball,singles,1132.5,1245.8,2,21,15,0,0.7911,synthetic
SM28,pickleball,singles,962.5,1213.0,3,32,20,1,0.7907,synthetic
SM29,pickleball,singles,877.1,995.6,2,20,17,0,0.8219,synthetic
SM30,pickleball,singles,1165.5,1384.4,2,18,15,0,0.751,synthetic
SM31,pickleball,singles,1158.4,1116.2,2,20,15,0,0.8481,synthetic
SM32,pickleball,singles,1083.9,1741.3,2,21,18,0,0.5026,synthetic
SM33,pickleball,singles,1640.6,1278.2,2,20,14,0,0.6211,synthetic
SM34,pickleball,singles,1023.8,1581.8,2,20,16,0,0.5169,synthetic
SM35,pickleball,singles,1677.8,1184.4,2,21,16,0,0.5503,synthetic
SM36,pickleball,singles,1822.4,969.9,2,21,17,0,0.4912,synthetic
SM37,pickleball,singles,1429.3,1014.1,2,20,11,0,0.5404,synthetic
SM38,pickleball,singles,1301.6,1033.1,3,28,22,0,0.773,synthetic
SM39,pickleball,singles,1781.3,2249.1,2,22,16,0,0.5583,synthetic
SM40,pickleball,singles,1047.6,1457.0,2,22,12,0,0.5428,synthetic
SM41,pickleball,singles,1137.3,1085.9,2,22,15,1,0.8734,synthetic
SM42,pickleball,singles,1702.1,926.3,2,21,13,0,0.4392,synthetic
SM43,pickleball,singles,1165.3,1731.0,2,23,3,0,0.2485,synthetic
SM44,pickleball,singles,825.8,1154.2,3,31,24,0,0.7302,synthetic
SM45,pickleball,singles,1183.8,1708.3,2,21,17,0,0.5416,synthetic
SM46,pickleball,singles,1101.3,1974.9,2,21,14,0,0.4533,synthetic
SM47,pickleball,singles,1145.5,979.7,2,19,17,0,0.8006,synthetic
SM48,pickleball,singles,952.6,929.9,2,21,16,1,0.9141,synthetic
SM49,pickleball,singles,1757.9,1402.3,2,23,16,0,0.6245,synthetic
SM50,pickleball,singles,1273.8,1255.1,2,21,18,1,0.9401,synthetic
SM51,pickleball,singles,1545.6,1782.1,2,22,12,0,0.658,synthetic
SM52,pickleball,singles,1052.5,1231.0,3,28,25,0,0.8584,synthetic
SM53,pickleball,singles,1592.1,984.3,2,22,16,0,0.4702,synthetic
SM54,pickleball,singles,1248.8,1468.0,2,21,13,0,0.6931,synthetic
SM55,pickleball,singles,1610.3,1104.5,2,21,15,0,0.5295,synthetic
SM56,pickleball,singles,1117.4,1393.0,2,18,13,0,0.6851,synthetic
SM57,pickleball,singles,1402.9,1463.7,2,21,19,0,0.8728,synthetic
SM58,pickleball,singles,1277.0,985.1,3,27,26,0,0.7979,synthetic
SM59,pickleball,singles,991.2,1514.5,2,21,18,0,0.5537,synthetic
SM60,pickleball,singles,1439.2,1270.4,2,21,19,0,0.8008,synthetic
SM61,pickleball,singles,1514.5,1790.6,2,20,16,0,0.7048,synthetic
SM62,pickleball,singles,1498.4,1339.2,2,21,14,0,0.7472,synthetic
SM63,pickleball,singles,1287.2,1438.1,3,25,26,1,0.9416,synthetic
SM64,pickleball,singles,1035.0,1674.5,2,18,16,0,0.5098,synthetic
SM65,pickleball,singles,1059.9,1856.4,2,21,15,0,0.4667,synthetic
SM66,pickleball,singles,966.2,1220.2,3,25,29,0,0.801,synthetic
SM67,pickleball,singles,1429.7,1567.6,3,28,25,1,0.9354,synthetic
SM68,pickleball,singles,1150.0,1103.4,2,19,11,0,0.7956,synthetic
SM69,pickleball,singles,1323.4,1208.2,3,30,24,0,0.8788,synthetic
SM70,pickleball,singles,1656.2,1183.6,2,21,17,0,0.5762,synthetic
SM71,pickleball,singles,806.0,1237.9,2,21,11,0,0.5204,synthetic
SM72,pickleball,singles,888.9,1727.0,2,21,11,0,0.4083,synthetic
SM73,pickleball,singles,1670.2,2244.7,2,20,17,0,0.5179,synthetic
SM74,pickleball,singles,1648.7,1525.0,2,21,14,0,0.7709,synthetic
SM75,pickleball,singles,915.9,1183.9,2,21,14,0,0.6747,synthetic
SM76,pickleball,singles,1528.9,1287.8,2,21,18,0,0.7418,synthetic
SM77,pickleball,singles,1963.2,1243.6,2,22,14,0,0.4444,synthetic
SM78,pickleball,singles,1963.2,1465.9,2,22,12,0,0.4842,synthetic
SM79,pickleball,singles,1036.3,844.0,2,22,16,0,0.742,synthetic
SM80,pickleball,singles,1834.5,1483.1,3,26,21,0,0.7232,synthetic
SM81,pickleball,singles,1269.6,1371.5,3,28,25,1,0.9594,synthetic
SM82,pickleball,singles,1122.9,1447.7,2,22,16,0,0.6536,synthetic
SM83,pickleball,singles,1305.9,1243.2,2,20,16,1,0.8971,synthetic
SM84,pickleball,singles,1761.6,1569.5,3,29,28,0,0.8649,synthetic
SM85,pickleball,singles,1369.8,1120.8,2,21,8,1,0.638,synthetic
SM86,pickleball,singles,1034.6,1129.2,2,21,18,0,0.8395,synthetic
SM87,pickleball,singles,1181.4,1744.9,2,21,19,0,0.5377,synthetic
SM88,pickleball,singles,1008.8,1389.5,2,20,12,0,0.5795,synthetic
SM89,pickleball,singles,1053.7,1398.9,2,21,19,0,0.6832,synthetic
SM90,pickleball,singles,1597.8,1271.5,2,22,12,0,0.5982,synthetic
SM91,pickleball,singles,1432.5,1022.5,2,21,17,0,0.6179,synthetic
SM92,pickleball,singles,1189.7,1198.2,3,31,26,0,0.9592,synthetic
SM93,pickleball,singles,1480.5,1174.2,2,20,14,0,0.6585,synthetic
SM94,pickleball,singles,1157.9,1169.6,2,22,12,0,0.8079,synthetic
SM95,pickleball,singles,1181.9,1154.3,2,23,14,0,0.8176,synthetic
SM96,pickleball,singles,2007.8,1319.2,3,25,28,0,0.5774,synthetic
SM97,pickleball,singles,1467.5,1278.4,2,23,11,0,0.6661,synthetic
SM98,pickleball,singles,1355.8,1293.1,2,21,11,0,0.7665,synthetic
SM99,pickleball,singles,899.8,1267.6,2,19,12,0,0.5978,synthetic
SM100,pickleball,singles,1508.8,1439.5,2,19,8,1,0.7742,synthetic
SM101,pickleball,singles,1331.6,1163.9,2,22,17,0,0.7703,synthetic
SM102,pickleball,singles,1208.5,1387.6,2,19,17,0,0.7917,synthetic
SM103,pickleball,singles,1264.5,1031.2,3,31,28,0,0.8241,synthetic
SM104,pickleball,singles,1506.2,2088.0,2,21,14,0,0.4655,synthetic
SM105,pickleball,singles,1524.3,1408.9,3,27,27,0,0.9231,synthetic
SM106,pickleball,singles,2313.8,1366.1,2,21,10,0,0.3914,synthetic
SM107,pickleball,singles,1614.6,1173.7,2,20,16,0,0.595,synthetic
SM108,pickleball,singles,1239.6,1383.1,2,19,16,0,0.8034,synthetic
SM109,pickleball,singles,1228.7,1057.6,2,20,18,0,0.7982,synthetic
SM110,pickleball,singles,1474.1,1284.9,2,22,14,0,0.7183,synthetic
SM111,pickleball,singles,1054.5,915.1,3,31,27,0,0.8795,synthetic
SM112,pickleball,singles,1737.0,1007.3,2,20,16,0,0.4889,synthetic
SM113,pickleball,singles,1469.1,1359.2,2,21,19,1,0.8901,synthetic
SM114,pickleball,singles,880.0,1330.0,2,23,13,0,0.5222,synthetic
SM115,pickleball,singles,1021.4,1725.4,3,29,20,0,0.5265,synthetic
SM116,pickleball,singles,1252.1,1072.0,3,28,22,0,0.8319,synthetic
SM117,pickleball,singles,1297.9,1539.8,3,28,23,1,0.8495,synthetic
SM118,pickleball,singles,1512.9,1273.8,2,20,9,0,0.6222,synthetic
SM119,pickleball,singles,1738.0,1088.6,2,22,17,0,0.4821,synthetic
SM120,pickleball,singles,1526.0,1146.1,2,20,17,0,0.6476,synthetic
SM121,pickleball,singles,1837.1,2100.3,2,22,16,0,0.6947,synthetic
SM122,pickleball,singles,1613.6,1211.9,2,23,20,0,0.6376,synthetic
SM123,pickleball,singles,1050.6,1096.3,2,21,19,0,0.8829,synthetic
SM124,pickleball,singles,1379.0,1128.1,2,21,15,0,0.6994,synthetic
SM125,pickleball,singles,1378.1,1386.7,3,28,31,1,1.0,synthetic
SM126,pickleball,singles,1228.9,1227.4,2,20,16,1,0.9379,synthetic
SM127,pickleball,singles,1393.0,990.7,2,23,17,0,0.6051,synthetic
SM128,pickleball,singles,2230.5,1133.7,2,23,20,0,0.5054,synthetic
SM129,pickleball,singles,1152.6,1134.6,2,19,15,0,0.8743,synthetic
SM130,pickleball,singles,2010.7,1741.9,3,27,27,0,0.8208,synthetic
SM131,pickleball,singles,957.2,1415.2,2,20,17,0,0.5956,synthetic
SM132,pickleball,singles,1757.8,2046.2,3,29,28,0,0.8007,synthetic
SM133,pickleball,singles,1313.9,1944.0,2,23,12,0,0.4076,synthetic
SM134,pickleball,singles,1528.8,1425.6,2,19,15,0,0.8175,synthetic
SM135,pickleball,singles,1133.5,1106.4,3,27,26,0,0.9744,synthetic
SM136,pickleball,singles,1465.9,1328.4,2,20,13,0,0.7568,synthetic
