player_id,skill_category,rating,rating_deviation,win_rate,activeness_score,matches_played,current_streak,days_since_last_match,gender
P1,intermediate,1183.2,211.2,0.2618,0.629,11,1,6,F
P2,intermediate,1472.5,146.7,0.386,0.1308,9,0,54,M
P3,intermediate,1260.0,233.2,0.3108,0.269,37,-3,11,F
P4,intermediate,1766.7,241.8,0.6217,0.554,13,0,37,M
P5,beginner,914.3,285.4,0.118,0.671,37,0,7,M
P6,intermediate,1527.0,168.6,0.5211,0.3864,20,-1,42,M
P7,intermediate,1290.2,197.9,0.1929,0.5945,46,1,5,M
P8,beginner,1110.2,326.3,0.2144,0.4269,53,2,10,M
P9,beginner,1202.8,268.3,0.05,0.501,14,-2,17,F
P10,intermediate,1347.2,141.4,0.2562,0.1986,8,7,111,M
P11,beginner,1090.8,279.7,0.2431,0.1218,11,-2,63,F
P12,beginner,990.8,316.9,0.2558,0.7828,12,0,18,M
P13,advanced,1649.5,123.4,0.5024,0.4493,11,3,2,F
P14,advanced,1512.8,185.7,0.5494,0.201,5,1,8,F
P15,intermediate,1376.2,157.4,0.4441,0.7462,56,2,17,F
P16,intermediate,1219.9,205.1,0.1528,0.2518,17,1,63,F
P17,intermediate,1139.0,198.8,0.1349,0.7201,115,1,42,M
P18,beginner,1035.1,309.6,0.1107,0.5903,29,2,55,F
P19,intermediate,1384.6,171.7,0.45,0.2631,9,3,63,F
P20,advanced,1703.1,176.2,0.6794,0.2693,10,1,17,M
P21,intermediate,1344.1,181.3,0.197,0.5246,24,3,32,M
P22,intermediate,1708.4,264.5,0.6768,0.8471,18,0,8,M
P23,beginner,957.4,346.5,0.0716,0.1611,7,1,166,F
P24,intermediate,1151.0,264.5,0.1609,0.1263,5,2,41,M
P25,beginner,810.6,228.0,0.1301,0.4105,44,-4,29,M
P26,beginner,1025.7,282.4,0.1928,0.2288,14,-3,120,M
P27,expert,1991.6,105.2,0.8156,0.3849,27,2,28,F
P28,intermediate,1255.5,230.7,0.3289,0.2564,24,0,16,F
P29,advanced,1901.9,136.8,0.656,0.2724,35,0,18,M
P30,advanced,1664.8,131.6,0.6935,0.7208,55,-3,26,F
P31,beginner,966.1,279.6,0.05,0.7708,60,0,15,M
P32,beginner,998.0,288.2,0.1685,0.7669,117,-4,68,F
P33,intermediate,1044.4,255.0,0.1286,0.3396,19,-2,104,M
P34,beginner,1008.8,298.3,0.1361,0.5373,24,-2,21,F
P35,intermediate,1530.1,263.6,0.4474,0.6832,19,-1,15,M
P36,expert,1820.5,109.1,0.6835,0.7582,81,5,0,M
P37,intermediate,1394.3,161.6,0.3987,0.3854,11,3,1,F
P38,advanced,1897.1,159.4,0.6607,0.1052,10,1,65,M
P39,beginner,1079.1,350.0,0.1836,0.3745,14,5,4,M
P40,advanced,1893.6,176.3,0.6488,0.2084,10,-5,106,M
P41,intermediate,1277.0,246.7,0.3766,0.7422,150,0,11,M
P42,intermediate,1331.6,197.4,0.2441,0.4811,9,2,5,M
P43,beginner,952.1,257.6,0.05,0.1633,18,0,52,M
P44,advanced,1810.7,131.4,0.5728,0.5304,17,-6,13,F
P45,beginner,1152.2,240.5,0.2224,0.5693,12,-2,6,M
P46,beginner,922.6,253.8,0.05,0.1621,10,2,4,F
P47,intermediate,1283.9,255.4,0.2714,0.174,42,5,47,M
P48,beginner,995.0,255.0,0.0913,0.3019,65,-2,4,M
P49,expert,2078.5,106.8,0.7411,0.2741,9,2,54,M
P50,intermediate,1392.0,104.1,0.3333,0.2525,13,-4,30,M
P51,intermediate,1259.7,226.6,0.3758,0.8986,124,-2,24,F
P52,beginner,1070.4,283.6,0.208,0.5882,10,-1,3,F
P53,intermediate,1018.8,212.6,0.1151,0.8582,20,-3,20,F
P54,beginner,1021.3,312.9,0.2097,0.664,57,3,17,F
P55,advanced,1636.6,162.1,0.4356,0.2272,28,-1,17,F
P56,beginner,1204.4,262.2,0.2186,0.1943,12,4,13,M
P57,beginner,1070.5,313.4,0.0978,0.6277,5,5,49,F
P58,beginner,1120.8,350.0,0.3082,0.7098,26,7,8,M
P59,intermediate,1428.6,164.6,0.2605,0.5159,39,-4,13,M
P60,beginner,1018.7,172.1,0.1324,0.2586,5,-3,126,M
P61,intermediate,1427.5,290.1,0.3969,0.3907,9,7,1,F
P62,intermediate,1183.9,107.2,0.3273,0.8827,92,0,4,F
P63,intermediate,1429.2,232.7,0.495,0.696,60,1,4,M
P64,beginner,923.6,308.4,0.1128,0.1977,8,-5,104,F
P65,intermediate,1614.7,175.3,0.3965,0.0861,8,-5,223,F
P66,beginner,984.6,278.5,0.2036,0.3838,11,6,8,M
P67,advanced,1787.4,150.6,0.6449,0.401,7,-4,22,F
P68,advanced,1771.7,157.7,0.686,0.5096,18,1,1,M
P69,intermediate,994.5,206.5,0.0612,0.5075,37,1,14,F
P70,advanced,1472.0,124.2,0.476,0.2638,10,-1,3,F
P71,intermediate,1386.4,178.1,0.5115,0.5985,14,-5,1,F
P72,beginner,1187.3,277.0,0.2917,0.6501,58,3,35,M
P73,intermediate,1509.3,215.0,0.4599,0.6546,44,1,65,F
P74,intermediate,1318.0,201.0,0.3261,0.6259,13,-3,24,M
P75,intermediate,1541.7,250.6,0.4793,0.7896,15,2,25,F
P76,intermediate,1357.1,181.9,0.4609,0.7611,60,-5,21,M
P77,beginner,839.0,226.2,0.05,0.2976,70,-5,40,M
P78,advanced,1543.0,179.5,0.4473,0.2899,73,3,25,M
P79,beginner,1244.5,255.1,0.2334,0.1596,22,-1,76,F
P80,beginner,909.2,257.9,0.1189,0.6886,8,-1,2,F
P81,expert,2120.1,107.1,0.8518,0.263,11,2,26,M
P82,beginner,935.9,259.3,0.1029,0.2434,26,3,34,M
P83,advanced,1552.9,167.7,0.5592,0.4529,26,-1,53,F
P84,beginner,1107.7,273.3,0.204,0.7091,68,0,5,F
P85,expert,2050.4,66.0,0.8412,0.2488,22,1,16,F
P86,advanced,1706.2,136.6,0.5819,0.725,20,-1,34,F
P87,expert,2065.3,86.0,0.821,0.6431,15,-3,29,F
P88,beginner,1028.7,289.8,0.0978,0.1029,7,0,70,M
P89,beginner,1126.0,278.2,0.2232,0.295,20,2,22,F
P90,beginner,1008.8,293.7,0.1671,0.4205,7,3,17,M
